miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSMUSG00000092770,0.736289996,11.56660015,1.402821685,0.177766543,0.499042535,-5.449119491
ENSMUSG00000080424,-1.500861261,1.076061314,-1.385205383,0.183000352,0.508439122,-5.001654435
ENSMUSG00000070139,0.872364426,10.25199538,1.386790458,0.182524405,0.508439122,-5.401118282
ENSMUSG00000065582|ENSMUSG00000107156,-1.083718686,5.146105725,-1.381173261,0.184215569,0.509190726,-5.128437622
ENSMUSG00000099153,-1.743999837,0.952479974,-1.377878135,0.185213474,0.509337053,-5.012494452
ENSMUSG00000077962,1.61142333,0.156562394,1.368142706,0.188187139,0.514887654,-5.062575337
ENSMUSG00000098269,-1.334690928,2.077269929,-1.363016549,0.189768209,0.516591236,-5.030371985
ENSMUSG00000065609,-2.520299347,4.974275613,-1.351497317,0.19335985,0.518512234,-5.160657989
ENSMUSG00000098331,-2.042468648,1.235608062,-1.353644912,0.192686159,0.518512234,-5.042345489
ENSMUSG00000099109,-1.720649277,-0.627401913,-1.353727237,0.192660372,0.518512234,-5.08833042
ENSMUSG00000106328,-1.949339185,1.427837858,-1.331215189,0.199815165,0.526288437,-5.067173468
ENSMUSG00000104979,-1.504161788,2.107757871,-1.324105048,0.202118194,0.526288437,-5.078679628
ENSMUSG00000098672,-1.195038658,2.189020532,-1.326487216,0.201344263,0.526288437,-5.075974232
ENSMUSG00000070084,-1.094780253,11.81413109,-1.327283957,0.201085937,0.526288437,-5.559620986
ENSMUSG00000065543,-0.972886947,8.56106971,-1.333886752,0.198955219,0.526288437,-5.378560757
ENSMUSG00000065497,1.577139872,3.466300405,1.328598759,0.200660216,0.526288437,-5.111559068
ENSMUSG00000106471,-1.079175557,11.83917521,-1.314569807,0.205239629,0.529302202,-5.576630593
ENSMUSG00000065418,1.015819391,5.483556179,1.315535974,0.204921625,0.529302202,-5.222407976
ENSMUSG00000065533,-1.80409403,0.111919576,-1.30539964,0.208277307,0.530090401,-5.118076196
ENSMUSG00000076005,-1.276438874,1.29266948,-1.304744518,0.208495668,0.530090401,-5.094985724
ENSMUSG00000065581,1.112279065,3.822710438,1.306455688,0.207925692,0.530090401,-5.14965479
ENSMUSG00000065464|ENSMUSG00000098554,-1.107105996,5.797507167,-1.295548218,0.211579948,0.535029279,-5.266398244
ENSMUSG00000065510,0.649352414,8.180528758,1.29305137,0.212423498,0.535029279,-5.40259582
ENSMUSG00000093089|ENSMUSG00000105849,1.900382833,4.109689262,1.279870028,0.216920514,0.543814683,-5.191315916
ENSMUSG00000098451,-1.525775594,0.450415007,-1.262504915,0.222957924,0.546772446,-5.161289062
ENSMUSG00000098285,-1.464539186,-0.274453208,-1.261894714,0.223172427,0.546772446,-5.18438101
ENSMUSG00000098704,-1.41502021,1.598729957,-1.265147344,0.222030883,0.546772446,-5.140589551
ENSMUSG00000098698,1.145596956,0.742825415,1.264351176,0.222309886,0.546772446,-5.178646684
ENSMUSG00000080533,1.254873224,1.33930851,1.27314136,0.219244591,0.546772446,-5.156764601
ENSMUSG00000093269,-2.259990313,2.107097868,-1.255531451,0.225418851,0.547300723,-5.165662069
ENSMUSG00000065567,0.869007395,9.270894749,1.256314767,0.225141374,0.547300723,-5.506771161
ENSMUSG00000099071,1.39316324,0.091709553,1.245684393,0.228929644,0.55333219,-5.205462737
ENSMUSG00000099225,-1.513886907,-0.416180386,-1.237312281,0.231947672,0.558124086,-5.2151752
ENSMUSG00000084564,-1.628747639,2.341511515,-1.22086347,0.237966372,0.565701451,-5.201071125
ENSMUSG00000098593,-1.087832637,-0.393783808,-1.220108888,0.238245324,0.565701451,-5.239405153
ENSMUSG00000077025|ENSMUSG00000099327,1.357115882,1.30632533,1.220570496,0.238074648,0.565701451,-5.219304816
ENSMUSG00000070126,0.813105736,6.291483683,1.215620936,0.239909595,0.567154701,-5.380632011
ENSMUSG00000105982,1.165028886,0.093778014,1.212775075,0.240969528,0.567172819,-5.241217293
ENSMUSG00000092868,1.149787723,0.248677751,1.20988232,0.24205059,0.567240297,-5.24271101
ENSMUSG00000088054,1.379367303,2.720582898,1.205209311,0.243804776,0.56887781,-5.231523727
ENSMUSG00000098414,-1.524271164,0.529675301,-1.195610462,0.247438427,0.574867726,-5.23217173
ENSMUSG00000098926,-1.271244948,-0.659096737,-1.18321002,0.252193352,0.583400073,-5.284678771
ENSMUSG00000106493,0.947538361,0.594963079,1.176590379,0.254759789,0.584321389,-5.272483486
ENSMUSG00000093157,1.11417675,0.401684769,1.177269058,0.254495761,0.584321389,-5.277140025
ENSMUSG00000065469,-1.119379537,-0.452844932,-1.168166199,0.258054291,0.584417071,-5.296644472
ENSMUSG00000098344,-0.836521886,9.063375294,-1.171511453,0.25674222,0.584417071,-5.595941976
ENSMUSG00000098441,0.914982889,-0.689821384,1.168180237,0.258048775,0.584417071,-5.302299051
ENSMUSG00000098397,-1.356480158,0.432838516,-1.162974385,0.260100601,0.586586711,-5.270829453
ENSMUSG00000099080,-1.582890953,0.020804427,-1.153428777,0.263894686,0.590308882,-5.28972072
ENSMUSG00000065512,-0.988003548,2.215124049,-1.153311772,0.263941448,0.590308882,-5.268157109
ENSMUSG00000099092,-1.32813885,1.786494466,-1.141792455,0.268575612,0.591258536,-5.274074173
ENSMUSG00000070130,-1.293078898,9.537509699,-1.1413523,0.26875388,0.591258536,-5.65521028
ENSMUSG00000093270,-1.267503041,-0.50349413,-1.142838556,0.268152282,0.591258536,-5.324418144
ENSMUSG00000065449,0.984508563,4.751231092,1.147511891,0.266267181,0.591258536,-5.372117938
ENSMUSG00000093290,-1.507835236,0.846468056,-1.131277647,0.272858369,0.592340075,-5.290192448
ENSMUSG00000098663,-1.145232708,-0.019854849,-1.132787459,0.272240312,0.592340075,-5.319837831
ENSMUSG00000065490,0.801804333,9.121483669,1.129368639,0.273641333,0.592340075,-5.641230731
ENSMUSG00000070081|ENSMUSG00000107328,1.221183865,2.963054619,1.132486836,0.272363292,0.592340075,-5.314058391
ENSMUSG00000098319,0.945524323,0.052981922,1.113506537,0.280211559,0.60413612,-5.346595848
