miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B,mature
MI0000713,0.813105736,6.291483683,1.215620936,0.239909595,0.567154701,-5.380632011,MIMAT0000229|MIMAT0000230
MI0022743,1.165028886,0.093778014,1.212775075,0.240969528,0.567172819,-5.241217293,MIMAT0027692|MIMAT0027693
MI0018022,1.149787723,0.248677751,1.20988232,0.24205059,0.567240297,-5.24271101,MIMAT0020621
MI0009965,1.379367303,2.720582898,1.205209311,0.243804776,0.56887781,-5.231523727,MIMAT0009441|MIMAT0017350
MI0022756,-1.524271164,0.529675301,-1.195610462,0.247438427,0.574867726,-5.23217173,MIMAT0027718|MIMAT0027719
MI0022751,-1.271244948,-0.659096737,-1.18321002,0.252193352,0.583400073,-5.284678771,MIMAT0027708|MIMAT0027709
MI0000720,0.947538361,0.594963079,1.176590379,0.254759789,0.584321389,-5.272483486,MIMAT0000142_1|MIMAT0000143_1
MI0014091,1.11417675,0.401684769,1.177269058,0.254495761,0.584321389,-5.277140025,MIMAT0014917|MIMAT0014918
MI0000222,-1.119379537,-0.452844932,-1.168166199,0.258054291,0.584417071,-5.296644472,MIMAT0000209_1|MIMAT0016994
MI0026016,-0.836521886,9.063375294,-1.171511453,0.25674222,0.584417071,-5.595941976,MIMAT0031390
MI0022353,0.914982889,-0.689821384,1.168180237,0.258048775,0.584417071,-5.302299051,MIMAT0025581|MIMAT0025582
MI0025009,-1.356480158,0.432838516,-1.162974385,0.260100601,0.586586711,-5.270829453,MIMAT0029844|MIMAT0029845
MI0022921,-1.582890953,0.020804427,-1.153428777,0.263894686,0.590308882,-5.28972072,MIMAT0028048|MIMAT0028049
MI0000164,-0.988003548,2.215124049,-1.153311772,0.263941448,0.590308882,-5.268157109,MIMAT0000150|MIMAT0016987
MI0022911,-1.32813885,1.786494466,-1.141792455,0.268575612,0.591258536,-5.274074173,MIMAT0028028|MIMAT0028029
MI0000603,-1.293078898,9.537509699,-1.1413523,0.26875388,0.591258536,-5.65521028,MIMAT0017030|MIMAT0000565
MI0018046,-1.267503041,-0.50349413,-1.142838556,0.268152282,0.591258536,-5.324418144,MIMAT0020645|MIMAT0022989
MI0000768,0.984508563,4.751231092,1.147511891,0.266267181,0.591258536,-5.372117938,MIMAT0017077|MIMAT0000711_1
MI0018037,-1.507835236,0.846468056,-1.131277647,0.272858369,0.592340075,-5.290192448,MIMAT0020636|MIMAT0022986
MI0022805,-1.145232708,-0.019854849,-1.132787459,0.272240312,0.592340075,-5.319837831,MIMAT0027816|MIMAT0027817
MI0000547,0.801804333,9.121483669,1.129368639,0.273641333,0.592340075,-5.641230731,MIMAT0000514_1|MIMAT0004616
MI0004706,1.221183865,2.963054619,1.132486836,0.272363292,0.592340075,-5.314058391,MIMAT0017259|MIMAT0003513
MI0022887,0.945524323,0.052981922,1.113506537,0.280211559,0.60413612,-5.346595848,MIMAT0027980|MIMAT0027981
MI0002405,0.862272017,-0.066180085,1.103223189,0.28453274,0.611008553,-5.358417634,MIMAT0002111|MIMAT0004760
MI0000256,1.364077351,2.145674304,1.099598427,0.286067517,0.611866633,-5.339042095,MIMAT0000246|MIMAT0017005
MI0022792,1.148695847,-0.851721397,1.096549154,0.287363318,0.612208808,-5.379925688,MIMAT0027790|MIMAT0027791
MI0025034,0.916966809,0.047620648,1.088675593,0.290729088,0.61673632,-5.371458242,MIMAT0029892|MIMAT0029893
MI0016997,1.042525087,6.410213365,1.086237986,0.291776923,0.61673632,-5.527229405,MIMAT0020367
MI0016968,-1.519013147,0.302793183,-1.068468448,0.299498641,0.621031356,-5.366778983,MIMAT0019341
MI0004690,-1.360583675,0.083884992,-1.070348905,0.298674553,0.621031356,-5.371851811,MIMAT0003496
MI0009963,-1.149251128,-0.54826102,-1.07092543,0.298422227,0.621031356,-5.398818037,MIMAT0009439|MIMAT0022952
MI0022358,0.909847803,-0.032469105,1.077567451,0.295526376,0.621031356,-5.38369926,MIMAT0025588
MI0000685,0.960694433,15.64626311,1.06830612,0.299569856,0.621031356,-6.012329288,MIMAT0000648|MIMAT0004659
MI0023714,-0.944794616,0.53836188,-1.052171795,0.306709438,0.628679558,-5.381338724,MIMAT0028406|MIMAT0028407
MI0000570,0.540460078,15.01941141,1.049452558,0.307924681,0.628679558,-6.015865521,MIMAT0004629|MIMAT0000531
MI0005552,1.08584704,-0.689154119,1.050346007,0.307525013,0.628679558,-5.422226846,MIMAT0017280|MIMAT0004939
MI0000640,1.138456476,6.481783355,1.052256743,0.30667153,0.628679558,-5.565670582,MIMAT0017040|MIMAT0000605
MI0026043,-1.254685626,2.170059628,-1.045336799,0.309770611,0.629372281,-5.375273318,MIMAT0031417
MI0000567,0.767872318,7.196317808,1.040436653,0.311978668,0.629372281,-5.61819762,MIMAT0000528|MIMAT0004626
MI0000400,1.055555569,0.420127326,1.043209659,0.310727743,0.629372281,-5.41307124,MIMAT0004578|MIMAT0000378
